,combinations,score
0,['gloves'],1.375
1,['book'],1.99989583587
2,['ball'],2.00000000003
3,"['gloves', 'gloves']",2.75
4,"['ball', 'gloves']",3.37500000004
5,"['book', 'gloves']",3.39215494856
6,"['ball', 'ball']",4.00000000008
7,"['ball', 'book']",4.0250000002499995
8,"['book', 'book']",4.0499973708
9,"['gloves', 'gloves', 'gloves']",4.125
10,"['ball', 'gloves', 'gloves']",4.75000000004
11,"['book', 'gloves', 'gloves']",4.7844140593699995
12,['doll'],5.0
13,['horse'],5.035273814
14,"['ball', 'ball', 'gloves']",5.375000000090001
15,"['ball', 'book', 'gloves']",5.41725911092
16,"['book', 'book', 'gloves']",5.45973220849
17,"['gloves', 'gloves', 'gloves', 'gloves']",5.5
18,"['ball', 'ball', 'ball']",6.00000000015
19,"['ball', 'ball', 'book']",6.050104162459999
20,"['ball', 'book', 'book']",6.100520781039999
21,"['ball', 'gloves', 'gloves', 'gloves']",6.12500000005
22,"['book', 'book', 'book']",6.15124969471
23,"['book', 'gloves', 'gloves', 'gloves']",6.1766731652699995
24,"['doll', 'gloves']",6.375
25,"['gloves', 'horse']",6.4105738064199995
26,"['ball', 'ball', 'gloves', 'gloves']",6.75000000011
27,"['ball', 'book', 'gloves', 'gloves']",6.809518216440001
28,"['book', 'book', 'gloves', 'gloves']",6.86946700491
29,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves']",6.875
30,"['ball', 'doll']",7.00000000006
31,"['ball', 'horse']",7.0357101666699995
32,"['book', 'doll']",7.062656227710001
33,"['book', 'horse']",7.098809139839999
34,"['ball', 'ball', 'ball', 'gloves']",7.37500000018
35,"['ball', 'ball', 'book', 'gloves']",7.44236326758
36,"['ball', 'gloves', 'gloves', 'gloves', 'gloves']",7.50000000006
37,"['ball', 'book', 'book', 'gloves']",7.51025557335
38,"['book', 'gloves', 'gloves', 'gloves', 'gloves']",7.56893225834
39,"['book', 'book', 'book', 'gloves']",7.578679333819999
40,"['doll', 'gloves', 'gloves']",7.75
41,"['gloves', 'gloves', 'horse']",7.785873798839999
42,"['ball', 'ball', 'ball', 'ball']",8.00000000025
43,"['ball', 'ball', 'ball', 'book']",8.0752083187
44,"['ball', 'ball', 'gloves', 'gloves', 'gloves']",8.125000000130001
45,"['ball', 'ball', 'book', 'book']",8.15104414141
46,"['ball', 'book', 'gloves', 'gloves', 'gloves']",8.20177730849
47,"['ball', 'book', 'book', 'book']",8.2275111014
48,"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",8.25
49,"['book', 'book', 'gloves', 'gloves', 'gloves']",8.27920169933
50,"['book', 'book', 'book', 'book']",8.30461245697
51,"['ball', 'doll', 'gloves']",8.37500000007
52,"['ball', 'gloves', 'horse']",8.4110101591
53,"['book', 'doll', 'gloves']",8.454915304570001
54,"['book', 'gloves', 'horse']",8.491371988280001
