combinations,score
['gloves'],1.375
['book'],1.99989583587
['ball'],2.00000000003
"['gloves', 'gloves']",2.75
"['ball', 'gloves']",3.37500000004
"['book', 'gloves']",3.39215494856
"['ball', 'ball']",4.00000000008
"['ball', 'book']",4.02500000025
"['book', 'book']",4.0499973708
"['gloves', 'gloves', 'gloves']",4.125
"['ball', 'gloves', 'gloves']",4.75000000004
"['book', 'gloves', 'gloves']",4.78441405937
['doll'],5.0
['horse'],5.035273814
"['ball', 'ball', 'gloves']",5.375000000090001
"['ball', 'book', 'gloves']",5.41725911092
"['book', 'book', 'gloves']",5.45973220849
"['gloves', 'gloves', 'gloves', 'gloves']",5.5
"['ball', 'ball', 'ball']",6.00000000015
"['ball', 'ball', 'book']",6.050104162459999
"['ball', 'book', 'book']",6.100520781039998
"['ball', 'gloves', 'gloves', 'gloves']",6.12500000005
"['book', 'book', 'book']",6.15124969471
"['book', 'gloves', 'gloves', 'gloves']",6.17667316527
"['doll', 'gloves']",6.375
"['gloves', 'horse']",6.41057380642
"['ball', 'ball', 'gloves', 'gloves']",6.75000000011
"['ball', 'book', 'gloves', 'gloves']",6.809518216440001
"['book', 'book', 'gloves', 'gloves']",6.86946700491
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves']",6.875
"['ball', 'doll']",7.00000000006
"['ball', 'horse']",7.03571016667
"['book', 'doll']",7.062656227710002
"['book', 'horse']",7.098809139839998
"['ball', 'ball', 'ball', 'gloves']",7.37500000018
"['ball', 'ball', 'book', 'gloves']",7.44236326758
"['ball', 'gloves', 'gloves', 'gloves', 'gloves']",7.50000000006
"['ball', 'book', 'book', 'gloves']",7.51025557335
"['book', 'gloves', 'gloves', 'gloves', 'gloves']",7.56893225834
"['book', 'book', 'book', 'gloves']",7.5786793338199985
"['doll', 'gloves', 'gloves']",7.75
"['gloves', 'gloves', 'horse']",7.785873798839999
"['ball', 'ball', 'ball', 'ball']",8.00000000025
"['ball', 'ball', 'ball', 'book']",8.0752083187
"['ball', 'ball', 'gloves', 'gloves', 'gloves']",8.125000000130001
"['ball', 'ball', 'book', 'book']",8.15104414141
"['ball', 'book', 'gloves', 'gloves', 'gloves']",8.20177730849
"['ball', 'book', 'book', 'book']",8.2275111014
"['gloves', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",8.25
"['book', 'book', 'gloves', 'gloves', 'gloves']",8.27920169933
"['book', 'book', 'book', 'book']",8.30461245697
"['ball', 'doll', 'gloves']",8.37500000007
"['ball', 'gloves', 'horse']",8.4110101591
"['book', 'doll', 'gloves']",8.454915304570001
"['book', 'gloves', 'horse']",8.491371988280001
"['ball', 'ball', 'ball', 'gloves', 'gloves']",8.7500000002
"['ball', 'ball', 'book', 'gloves', 'gloves']",8.83462235856
"['ball', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",8.87500000007
"['ball', 'book', 'book', 'gloves', 'gloves']",8.91999025747
"['book', 'gloves', 'gloves', 'gloves', 'gloves', 'gloves']",8.96119131775
"['ball', 'ball', 'doll']",9.00000000015
"['book', 'book', 'book', 'gloves', 'gloves']",9.0061085177
