horse,ball,bike,train,coal,book,doll,blocks,gloves,score,n_items,max_packs
0,23,0,0,0,0,0,0,0,45.86301305435968,23,47
0,22,0,0,0,0,0,0,1,44.875672404386805,23,50
1,20,0,0,0,0,0,0,0,44.11272807511331,21,55
0,21,0,0,0,0,0,0,2,44.00232664665976,23,52
0,22,0,0,0,0,0,0,0,43.999495012803415,22,50
0,21,0,0,0,1,0,0,0,43.65904378286521,22,52
0,20,0,0,0,0,1,0,0,43.59281325897084,21,55
0,21,0,0,0,0,0,0,1,43.3801625520783,22,52
1,19,0,0,0,0,0,0,1,43.35796046259786,21,57
0,20,0,0,0,0,0,0,3,43.26024451356321,23,55
1,19,0,0,0,0,0,0,0,42.95760080010985,20,57
0,20,0,0,0,1,0,0,1,42.94358592240726,22,55
0,19,0,0,0,0,1,0,1,42.932939852809035,21,57
0,19,0,0,0,0,1,0,0,42.82513107477371,20,57
2,17,0,0,0,0,0,0,0,42.784742596141804,19,64
0,20,0,0,0,0,0,0,2,42.732366929957124,22,55
1,18,0,0,0,0,0,0,2,42.70427197505996,21,61
0,19,0,0,0,0,0,0,4,42.60542110497735,23,50
0,20,0,0,0,2,0,0,0,42.584736444863765,22,55
1,18,0,0,0,1,0,0,0,42.437411944573334,20,61
1,17,0,0,0,0,1,0,0,42.40113008248239,19,64
0,18,0,0,0,0,1,0,2,42.35275202577547,21,61
1,18,0,0,0,0,0,0,1,42.29626559602887,20,61
0,19,0,0,0,1,0,0,2,42.27652902010852,22,57
2,16,0,0,0,0,0,0,1,42.19980546381559,19,68
0,18,0,0,0,1,1,0,0,42.18872686267193,20,61
0,16,0,0,0,0,0,1,0,42.17913926568993,17,68
0,18,0,0,0,0,1,0,1,42.15746119194746,20,61
1,17,0,0,0,0,0,0,3,42.109869251203804,21,64
0,19,0,0,0,0,0,0,3,42.079410722052955,22,57
0,19,0,0,0,2,0,0,1,42.027768639297626,22,57
0,17,0,0,0,0,2,0,0,42.016646120607206,19,64
0,18,0,0,0,0,0,0,5,42.00372577369879,23,40
0,21,0,0,0,0,0,0,0,41.999999852024274,21,52
0,20,0,0,0,1,0,0,0,41.977359777800345,21,55
1,16,0,0,0,0,1,0,1,41.880331258249264,19,68
2,16,0,0,0,0,0,0,0,41.85358687431705,18,68
0,17,0,0,0,0,1,0,3,41.81476300266356,21,64
1,17,0,0,0,1,0,0,1,41.80623322027704,20,64
0,19,0,0,0,2,0,0,0,41.73872218445576,21,57
3,14,0,0,0,0,0,0,0,41.737116546252835,17,78
1,16,0,0,0,0,1,0,0,41.70584384416355,18,68
0,15,0,0,0,0,0,1,1,41.65601743413212,17,73
2,15,0,0,0,0,0,0,2,41.65101145673106,19,73
1,17,0,0,0,0,0,0,2,41.64633747020617,20,64
0,18,0,0,0,1,0,0,3,41.645671438993354,22,61
0,17,0,0,0,1,1,0,1,41.58983072822314,20,64
1,17,0,0,0,2,0,0,0,41.579277725711464,20,64
0,16,0,0,0,0,2,0,1,41.559694844503575,19,68
1,16,0,0,0,0,0,0,4,41.549218473198486,21,50
0,16,0,0,0,0,2,0,0,41.53933999118055,18,68
0,17,0,0,0,0,1,0,2,41.51174159221894,20,64
0,18,0,0,0,2,0,0,2,41.49947440158899,22,61
2,14,0,0,0,0,1,0,0,41.446504994354434,17,78
0,18,0,0,0,0,0,0,4,41.435442099899085,22,50
0,17,0,0,0,0,0,0,6,41.433298926459564,23,33
0,20,0,0,0,0,0,0,1,41.399759495446254,21,55
1,15,0,0,0,0,1,0,2,41.380682415469956,19,73
2,15,0,0,0,1,0,0,0,41.357173143307186,18,73
0,15,0,0,0,0,0,1,0,41.35342811785068,16,73
0,19,0,0,0,1,0,0,1,41.351306420399524,21,57
0,16,0,0,0,0,1,0,4,41.29797279938363,21,50
0,17,0,0,0,2,1,0,0,41.292878140168874,20,64
1,13,0,0,0,0,0,1,0,41.23229159218853,15,84
0,18,0,0,0,3,0,0,0,41.22572114403762,21,61
3,13,0,0,0,0,0,0,1,41.22167583211312,17,84
2,15,0,0,0,0,0,0,1,41.21504643716084,18,73
1,16,0,0,0,1,0,0,2,41.20292414149263,20,68
1,14,0,0,0,0,2,0,0,41.15604364924589,17,78
1,15,0,0,0,1,1,0,0,41.15265222871189,18,73
0,14,0,0,0,0,0,1,2,41.14894695278483,17,78
2,14,0,0,0,0,0,0,3,41.12108941662419,19,66
0,15,0,0,0,0,2,0,2,41.1088196635616,19,73
0,18,0,0,0,2,0,0,1,41.10509139087804,21,61
0,17,0,0,0,1,0,0,5,41.08092148764263,23,40
1,16,0,0,0,2,0,0,1,41.08073776889831,20,68
1,15,0,0,0,0,1,0,1,41.077592078240734,18,73
0,17,0,0,0,1,0,0,4,41.0396776625696,22,50
1,18,0,0,0,0,0,0,0,41.03220102996392,19,61
0,16,0,0,0,1,1,0,2,41.01368873103315,20,68
1,16,0,0,0,0,0,0,3,41.011533808121904,20,66
1,15,0,0,0,0,0,0,5,41.00695572846975,21,40
0,18,0,0,0,0,1,0,0,40.988127045900114,19,61
0,17,0,0,0,2,0,0,3,40.984938312072046,22,64
2,13,0,0,0,0,1,0,1,40.97358225143006,17,84
0,13,0,0,0,0,1,1,0,40.969283274356876,15,84
1,17,0,0,0,1,0,0,0,40.949431666173204,19,64
0,15,0,0,0,1,2,0,0,40.941267998268195,18,73
0,15,0,0,0,0,2,0,1,40.92696439046514,18,73
1,14,0,0,0,0,1,0,3,40.88920863209671,19,66
0,16,0,0,0,0,1,0,3,40.885220122988805,20,66
0,16,0,0,0,0,0,0,7,40.880552772915635,23,28
0,14,0,0,0,0,3,0,0,40.86817045094233,17,78
0,14,0,0,0,1,0,1,0,40.861962793361094,16,78
0,17,0,0,0,1,1,0,0,40.858659635761335,19,64
0,16,0,0,0,2,1,0,1,40.83569229152765,20,68
4,11,0,0,0,0,0,0,0,40.81572586857841,15,100
0,17,0,0,0,0,0,0,5,40.80407954896508,22,40
0,19,0,0,0,0,0,0,2,40.7972285785667,21,57
0,15,0,0,0,0,1,0,5,40.79037589348307,21,40
3,13,0,0,0,0,0,0,0,40.78998084031277,16,84
2,14,0,0,0,1,0,0,1,40.77691925227672,18,78
1,12,0,0,0,0,0,1,1,40.747547914073664,15,91
0,14,0,0,0,0,0,1,1,40.73233476800304,16,78
0,18,0,0,0,1,0,0,2,40.72532954789864,21,61
1,13,0,0,0,0,2,0,1,40.72483316463079,17,84
3,12,0,0,0,0,0,0,2,40.71421859681817,17,91
1,15,0,0,0,1,0,0,4,40.70808458516739,21,50
2,14,0,0,0,2,0,0,0,40.683804343676044,18,78
1,16,0,0,0,2,0,0,0,40.6813121618247,19,68
0,16,0,0,0,1,0,0,6,40.65704773877103,23,33
0,17,0,0,0,3,0,0,1,40.65612446244261,21,64
0,14,0,0,0,0,2,0,3,40.65553561220067,19,66
2,13,0,0,0,0,1,0,0,40.65336455106414,16,84
0,13,0,0,0,0,0,1,3,40.6478065287642,17,66
1,15,0,0,0,1,0,0,3,40.617512035224784,20,66
2,13,0,0,0,0,0,0,4,40.59985269733173,19,50
1,14,0,0,0,1,1,0,1,40.59790996573098,18,78
2,14,0,0,0,0,0,0,2,40.59243188059956,18,78
3,11,0,0,0,0,1,0,0,40.587340227833316,15,100
1,15,0,0,0,2,0,0,2,40.58613200592513,20,73
0,17,0,0,0,4,0,0,0,40.55400461466676,21,64
0,16,0,0,0,2,1,0,0,40.542030275139055,19,68
0,12,0,0,0,0,1,1,1,40.52078310884647,15,91
1,13,0,0,0,0,2,0,0,40.5067657387031,16,84
2,12,0,0,0,0,1,0,2,40.499760391806156,17,91
0,17,0,0,0,2,0,0,2,40.4875935743171,21,64
0,13,0,0,0,0,3,0,1,40.47715300371691,17,84
0,16,0,0,0,2,0,0,4,40.475499305413884,22,50
1,14,0,0,0,0,0,0,6,40.47377522089745,21,33
1,14,0,0,0,0,1,0,2,40.466147489185545,18,78
1,14,0,0,0,2,1,0,0,40.458239152694865,18,78
0,15,0,0,0,1,1,0,3,40.45088640670136,20,66
0,16,0,0,0,1,0,0,5,40.45004310006263,22,40
1,17,0,0,0,0,0,0,1,40.424898371616194,19,64
0,14,0,0,0,1,2,0,1,40.413488761504325,18,78
1,13,0,0,0,0,1,0,4,40.39860739833924,19,50
3,12,0,0,0,1,0,0,1,40.39437466157889,17,91
1,15,0,0,0,0,0,0,4,40.390421323541446,20,50
0,17,0,0,0,0,1,0,1,40.3747594813984,19,64
0,15,0,0,0,2,1,0,2,40.37389884466216,20,73
3,12,0,0,0,1,0,0,0,40.36564451861776,16,91
2,10,0,0,0,0,0,1,0,40.363835865418466,13,110
2,11,0,0,0,0,2,0,0,40.358735651502656,15,100
2,13,0,0,0,1,0,0,3,40.35308327501326,19,66
0,13,0,0,0,0,3,0,0,40.35208383830731,16,84
1,12,0,0,0,1,0,1,0,40.3507427443114,15,91
0,15,0,0,0,0,0,0,8,40.33704343095181,23,25
0,14,0,0,0,0,2,0,2,40.3301942741045,18,78
0,13,0,0,0,1,0,1,2,40.32824082733221,17,84
1,16,0,0,0,1,0,0,1,40.32503227049002,19,68
4,10,0,0,0,0,0,0,1,40.324315359948244,15,110
1,12,0,0,0,0,0,1,0,40.31643012164445,14,91
0,13,0,0,0,1,0,1,1,40.3048926316372,16,84
1,14,0,0,0,1,0,0,5,40.2952137212049,21,40
0,14,0,0,0,0,1,0,6,40.28502315441238,21,33
1,12,0,0,0,0,2,0,2,40.28415749193282,17,91
0,15,0,0,0,0,1,0,4,40.27348943096743,20,50
1,15,0,0,0,3,0,0,1,40.264815453164324,20,73
1,11,0,0,0,0,0,1,2,40.26138344553253,15,100
1,15,0,0,0,3,0,0,0,40.24990430034971,19,73
0,13,0,0,0,2,0,1,0,40.24055334427576,16,84
0,16,0,0,0,1,1,0,1,40.23568195596397,19,68
0,14,0,0,0,2,2,0,0,40.23289126765366,18,78
0,16,0,0,0,3,0,0,3,40.22589672872426,22,66
0,15,0,0,0,1,0,0,7,40.22202525094335,23,28
2,13,0,0,0,1,0,0,2,40.20836283502996,18,84
3,11,0,0,0,0,0,0,3,40.20832884365281,17,66
2,13,0,0,0,2,0,0,1,40.20315514772995,18,84
2,12,0,0,0,1,1,0,0,40.19674810566772,16,91
0,13,0,0,0,0,2,0,4,40.195435098579246,19,50
0,18,0,0,0,0,0,0,3,40.19091781105526,21,61
0,16,0,0,0,0,0,0,6,40.184469201180775,22,33
0,12,0,0,0,0,1,1,0,40.18202544480082,14,91
3,12,0,0,0,0,0,0,1,40.180005620646455,16,91
1,10,0,0,0,0,1,1,0,40.1543177410226,13,110
0,12,0,0,0,0,0,1,4,40.14678437477477,17,50
1,11,0,0,0,0,3,0,0,40.13117195938597,15,100
3,10,0,0,0,0,1,0,1,40.12541808913756,15,110
0,13,0,0,0,0,0,1,2,40.12506651118847,16,84
1,13,0,0,0,1,1,0,3,40.11509961086332,19,66
0,17,0,0,0,1,0,0,3,40.10370436543959,21,64
0,16,0,0,0,3,0,0,2,40.09604830231709,21,68
1,14,0,0,0,2,0,0,3,40.09021746212762,20,66
0,16,0,0,0,4,0,0,1,40.08360492636212,21,68
0,15,0,0,0,3,1,0,0,40.08132670080123,19,73
2,12,0,0,0,0,0,0,5,40.081240752702776,19,40
1,15,0,0,0,2,0,0,1,40.0768087447789,19,73
0,14,0,0,0,1,1,0,5,40.069423089355,21,40
0,12,0,0,0,0,3,0,2,40.068670834324564,17,91
0,11,0,0,0,0,1,1,2,40.06369545410057,15,100
4,10,0,0,0,1,0,0,0,40.061135452883775,15,110
2,12,0,0,0,0,1,0,1,40.05580710311536,16,91
1,13,0,0,0,1,1,0,2,40.05037771073137,18,84
2,15,0,0,0,0,0,0,0,40.046925954813105,17,73
1,14,0,0,0,1,0,0,4,40.04314858475558,20,50
1,12,0,0,0,1,2,0,0,40.023750540167725,16,91
